EntryTimestamp,ExitTimestamp,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result,EMA30,EMA100,EntryPrice
2026-04-28T15:59:59.999000+00:00,,ZKPUSDT,4h,Continuation,Trending,0.8694,Bullish,Long,9.4951,win,0.080764,0.0747,0.09366
2026-04-05T22:59:59.999000+00:00,,BULLAUSDT,15m,Continuation,Trending,0.8576,Bullish,Long,-0.0851,loss,0.008071,0.007173,0.00823
2026-04-23T15:59:59.999000+00:00,,HOODUSDT,4h,Continuation,Trending,0.4889,Bearish,Short,1.5424,win,88.760744,89.411175,85.9
2026-04-18T18:59:48.924133+00:00,,TURBOUSDT,1h,Continuation,Balanced,0.4973,Bearish,Short,1.0211,win,0.001179,0.001193,0.001111
2026-04-24T03:59:59.999000+00:00,,VANAUSDT,4h,Continuation,Trending,0.8903,Bullish,Long,1.5227,win,1.416587,1.410675,1.487
2026-04-16T03:59:59.999000+00:00,,INJUSDT,4h,Continuation,Trending,0.8601,Bullish,Long,1.9055,win,3.046607,3.023936,3.318
2026-04-25T15:59:26.047331+00:00,,INJUSDT,4h,Continuation,Trending,0.9103,Bullish,Long,4.857,win,3.36678,3.228653,3.603
2026-04-26T15:26:41.439582+00:00,,INJUSDT,15m,Continuation,Balanced,0.8498,Bullish,Long,-0.1451,loss,3.654781,3.610064,3.661313
2026-04-15T10:59:47.726371+00:00,,MYXUSDT,15m,Continuation,Trending,0.7931,Bullish,Long,1.4001,win,0.327285,0.318003,0.334153
2026-04-08T11:59:59.999000+00:00,,HOLOUSDT,4h,Continuation,Trending,0.8987,Bullish,Long,-3.1102,loss,0.054251,0.053806,0.05707
2026-04-09T19:59:59.999000+00:00,,HOLOUSDT,4h,Continuation,Trending,0.8824,Bullish,Long,-3.7608,loss,0.055481,0.054295,0.05923
2026-04-17T15:58:44.428431+00:00,,BCHUSDT,4h,Continuation,Balanced,0.8923,Bullish,Long,-2.0962,loss,441.262817,436.950509,458.18
2026-04-22T23:58:03.463659+00:00,,BCHUSDT,24h,Continuation,Trending,0.8503,Bullish,Long,-1.224,loss,440.886464,437.182153,460.293991
2026-04-18T16:27:11.918682+00:00,,THETAUSDT,15m,Continuation,Balanced,0.8937,Bullish,Long,-1.3137,loss,0.233761,0.226309,0.238392
2026-04-16T19:59:21.500080+00:00,,XPLUSDT,4h,Continuation,Trending,0.8616,Bullish,Long,-4.528,loss,0.132837,0.126889,0.140834
2026-04-22T19:59:59.999000+00:00,,BUSDT,4h,Continuation,Trending,0.8794,Bullish,Long,3.2843,win,0.098202,0.094477,0.1069
2026-04-08T12:58:27.663769+00:00,,XMRUSDT,1h,Continuation,Balanced,0.8533,Bullish,Long,0.5472,win,336.572563,331.565137,343.2
2026-04-26T00:59:12.278126+00:00,,ENJUSDT,15m,Continuation,Balanced,0.837,Bullish,Long,-0.9653,loss,0.06331,0.062482,0.06471
2026-04-17T13:59:59.999000+00:00,,API3USDT,1h,Continuation,Balanced,0.8691,Bullish,Long,-0.2874,loss,0.305616,0.304694,0.3131
2026-04-09T13:13:26.253692+00:00,,STOUSDT,15m,Continuation,Balanced,0.7989,Bullish,Long,-1.0096,loss,0.142249,0.139433,0.14336
2026-04-08T18:55:32.395365+00:00,,ONGUSDT,1h,Continuation,Balanced,0.494,Bearish,Short,2.1176,win,0.079897,0.08588,0.07648
2026-04-17T15:59:59.999000+00:00,,ETCUSDT,4h,Continuation,Trending,0.8572,Bullish,Long,-0.5131,loss,8.50922,8.463212,8.771
2026-04-22T03:59:59.999000+00:00,,OPENUSDT,4h,Continuation,Trending,0.9001,Bullish,Long,-1.8998,loss,0.218249,0.217341,0.2316
2026-04-28T22:55:48.294758+00:00,,OPENUSDT,15m,Continuation,Balanced,0.7845,Bullish,Long,-0.8765,loss,0.258716,0.257829,0.2628
2026-04-28T23:26:20.649056+00:00,,OPENUSDT,15m,Continuation,Balanced,0.8383,Bullish,Long,0.4947,win,0.259004,0.257954,0.2616
2026-04-18T16:42:30.217195+00:00,,SUSHIUSDT,15m,Continuation,Ranging,0.8366,Bearish,Short,-0.2116,loss,0.216608,0.217731,0.2148
2026-04-27T19:59:59.999000+00:00,,PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,Long,-6.09,loss,0.304167,0.273014,0.3165
2026-04-28T18:25:52.681002+00:00,,PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,Long,-0.9346,loss,0.352823,0.339286,0.3531
2026-04-23T23:59:59.999000+00:00,,LUNA2USDT,4h,Continuation,Trending,0.9011,Bullish,Long,1.4513,win,0.058264,0.057863,0.06216
2026-04-28T08:55:56.588794+00:00,,ORCAUSDT,15m,Continuation,Balanced,0.877,Bullish,Long,-0.1935,loss,1.502628,1.461874,1.55
2026-04-18T23:14:13.311824+00:00,,APEUSDT,15m,Continuation,Balanced,0.8531,Bullish,Long,-0.5539,loss,0.105626,0.105153,0.1068
2026-04-22T07:59:59.999000+00:00,,APEUSDT,4h,Continuation,Trending,0.8657,Bullish,Long,-3.9221,loss,0.102535,0.101369,0.1049
2026-04-28T00:57:12.729218+00:00,,APEUSDT,1h,Continuation,Balanced,0.8691,Bullish,Long,-2.6749,loss,0.144329,0.142437,0.1454
2026-04-11T19:59:59.999000+00:00,,RENDERUSDT,4h,Continuation,Trending,0.8922,Bullish,Long,-3.4702,loss,1.922339,1.874183,2.063
2026-04-06T15:56:06.701096+00:00,,ENAUSDT,4h,Continuation,Trending,0.894,Bullish,Long,-3.4423,loss,0.078876,0.078017,0.084887
2026-04-08T07:57:26.669608+00:00,,ENAUSDT,4h,Continuation,Trending,0.8646,Bullish,Long,-4.3703,loss,0.081982,0.079245,0.092029
2026-04-10T09:13:56.356313+00:00,,ENAUSDT,15m,Continuation,Balanced,0.853,Bullish,Long,-1.1334,loss,0.095527,0.092535,0.097007
2026-04-18T05:56:01.813294+00:00,,ENAUSDT,15m,Continuation,Ranging,0.8413,Bullish,Long,0.3417,win,0.124507,0.120938,0.124808
2026-04-22T01:25:53.604979+00:00,,ENAUSDT,15m,Continuation,Ranging,0.8041,Bearish,Short,-0.6524,loss,0.111102,0.111899,0.110645
2026-04-25T01:44:08.544453+00:00,,ENAUSDT,15m,Continuation,Ranging,0.8525,Bullish,Long,0.4378,win,0.108476,0.108221,0.10909
2026-04-21T07:59:59.999000+00:00,,IMXUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-1.1442,loss,0.162482,0.155289,0.1748
2026-04-22T07:59:59.999000+00:00,,IMXUSDT,4h,Continuation,Trending,0.9019,Bullish,Long,-0.667,loss,0.166643,0.157512,0.1799
2026-04-13T23:59:59.999000+00:00,,VIRTUALUSDT,4h,Continuation,Trending,0.8825,Bullish,Long,-4.4101,loss,0.661493,0.64625,0.6992
2026-04-16T15:59:03.950944+00:00,,VIRTUALUSDT,4h,Continuation,Trending,0.8725,Bullish,Long,1.555,win,0.681039,0.657848,0.721615
2026-04-22T07:59:59.999000+00:00,,VIRTUALUSDT,4h,Continuation,Trending,0.8779,Bullish,Long,-2.7187,loss,0.690669,0.671535,0.7099
2026-04-22T10:12:54.710473+00:00,,METUSDT,15m,Continuation,Balanced,0.8382,Bullish,Long,-2.1523,loss,0.187916,0.174059,0.194272
2026-04-22T07:59:59.999000+00:00,,RAYSOLUSDT,4h,Continuation,Trending,0.8977,Bullish,Long,-2.6543,loss,0.658316,0.656357,0.6819
2026-04-24T19:59:59.999000+00:00,,LINEAUSDT,4h,Continuation,Trending,0.8648,Bullish,Long,1.5305,win,0.003367,0.003353,0.003434
2026-04-25T11:59:59.999000+00:00,,LINEAUSDT,4h,Continuation,Trending,0.8923,Bullish,Long,0.154,loss,0.003411,0.003369,0.003626
2026-04-20T22:10:47.105858+00:00,,PORTALUSDT,15m,Continuation,Balanced,0.8195,Bullish,Long,0.8688,win,0.013394,0.01258,0.01392
2026-04-11T18:57:15.785070+00:00,,AVAXUSDT,1h,Continuation,Balanced,0.9037,Bullish,Long,0.4436,win,9.335,9.244923,9.476634
2026-04-06T11:56:30.624019+00:00,,ARBUSDT,4h,Continuation,Trending,0.9083,Bullish,Long,-3.2901,loss,0.091883,0.090966,0.098481
2026-04-07T19:58:07.126140+00:00,,ARBUSDT,4h,Continuation,Trending,0.8852,Bullish,Long,1.5844,win,0.093102,0.091542,0.0967
2026-04-11T03:57:51.901254+00:00,,ARBUSDT,4h,Continuation,Trending,0.9015,Bullish,Long,-4.4297,loss,0.104035,0.096519,0.1207
2026-04-17T03:58:46.026191+00:00,,ARBUSDT,15m,Continuation,Balanced,0.8215,Bullish,Long,-0.3297,loss,0.1278,0.123986,0.1286
2026-04-20T19:59:59.999000+00:00,,XLMUSDT,4h,Continuation,Trending,0.8863,Bullish,Long,4.3089,win,0.167522,0.161831,0.17341
2026-04-05T21:14:59.999000+00:00,,MMTUSDT,15m,Continuation,Trending,0.8441,Bullish,Long,1.4738,win,0.137375,0.128037,0.1407
2026-04-21T03:59:59.999000+00:00,,SAFEUSDT,4h,Continuation,Trending,0.9012,Bullish,Long,-0.8181,loss,0.150326,0.150102,0.1589
2026-04-25T03:59:59.999000+00:00,,SAFEUSDT,4h,Continuation,Trending,0.8762,Bullish,Long,6.1992,win,0.152287,0.151546,0.1592
2026-04-21T05:43:45.186165+00:00,,IPUSDT,15m,Continuation,Balanced,0.8787,Bullish,Long,-0.8235,loss,0.522776,0.515394,0.528655
2026-04-26T16:28:31.162347+00:00,,IPUSDT,15m,Continuation,Ranging,0.8617,Bullish,Long,0.8299,win,0.532535,0.525924,0.537073
2026-04-12T20:40:29.501832+00:00,,BASEDUSDT,15m,Continuation,Balanced,0.8262,Bullish,Long,-0.8367,loss,0.059043,0.057311,0.060283
2026-04-11T10:26:14.803795+00:00,,GIGGLEUSDT,15m,Continuation,Balanced,0.7999,Bullish,Long,0.6715,win,28.415153,27.612701,28.840956
2026-04-14T06:13:32.441076+00:00,,GIGGLEUSDT,15m,Continuation,Balanced,0.8597,Bullish,Long,1.2292,win,38.482872,37.667783,38.949348
2026-04-22T07:59:59.999000+00:00,,AEROUSDT,4h,Continuation,Trending,0.8893,Bullish,Long,2.2832,win,0.382968,0.379266,0.407
2026-04-26T08:59:59.999000+00:00,,AEROUSDT,1h,Continuation,Balanced,0.9086,Bullish,Long,2.6133,win,0.431334,0.430573,0.4505
2026-04-11T07:59:59.999000+00:00,,TONUSDT,4h,Continuation,Trending,0.8926,Bullish,Long,1.8577,win,1.263243,1.241911,1.3347
2026-04-17T04:14:29.481983+00:00,,TONUSDT,15m,Continuation,Ranging,0.824,Bullish,Long,-0.4991,loss,1.428025,1.417349,1.433755
2026-04-13T15:59:59.999000+00:00,,APTUSDT,4h,Continuation,Trending,0.8673,Bullish,Long,1.5148,win,0.836682,0.835139,0.8487
2026-04-21T23:14:59.999000+00:00,,ZEREBROUSDT,15m,Continuation,Trending,0.824,Bullish,Long,4.246,win,0.016714,0.016204,0.017108
2026-04-29T17:59:59.999000+00:00,,ZEREBROUSDT,1h,Continuation,Trending,0.9029,Bullish,Long,11.4018,win,0.021611,0.018492,0.025515
2026-04-21T05:13:06.256524+00:00,,PIEVERSEUSDT,15m,Continuation,Trending,0.8173,Bullish,Long,1.8468,win,0.993338,0.977757,1.0514
2026-04-14T18:57:32.486531+00:00,,TAOUSDT,1h,Continuation,Balanced,0.4788,Bearish,Short,-1.696,loss,252.260584,264.456522,240.56
2026-04-10T07:59:59.999000+00:00,,DASHUSDT,4h,Continuation,Trending,0.8704,Bullish,Long,3.1816,win,32.895648,31.39706,39.32
2026-04-14T03:59:59.999000+00:00,,LDOUSDT,4h,Continuation,Trending,0.9026,Bullish,Long,2.111,win,0.323031,0.31657,0.3565
2026-04-15T15:55:23.878066+00:00,,LDOUSDT,4h,Continuation,Trending,0.9013,Bullish,Long,7.9599,win,0.338568,0.323232,0.377635
2026-04-16T19:59:59.999000+00:00,,LDOUSDT,4h,Continuation,Trending,0.8919,Bullish,Long,-5.7266,loss,0.362378,0.333309,0.4507
2026-04-24T10:26:30.037576+00:00,,MAGMAUSDT,15m,Continuation,Balanced,0.8675,Bullish,Long,0.9548,win,0.212766,0.201597,0.2214
2026-04-16T15:28:28.100064+00:00,,GALAUSDT,15m,Continuation,Balanced,0.8754,Bullish,Long,2.9973,win,0.003247,0.003164,0.003283
2026-04-24T11:59:47.962794+00:00,,GALAUSDT,4h,Continuation,Trending,0.8874,Bullish,Long,4.4405,win,0.003221,0.003138,0.00328
2026-04-25T03:56:27.323074+00:00,,GALAUSDT,4h,Continuation,Trending,0.9131,Bullish,Long,-3.5403,loss,0.003291,0.003167,0.00369
2026-04-25T23:12:16.377462+00:00,,MOVRUSDT,15m,Continuation,Balanced,0.8685,Bullish,Long,-2.0372,loss,2.436962,2.366288,2.514
2026-04-22T13:59:59.999000+00:00,,SPKUSDT,15m,Continuation,Trending,0.8759,Bullish,Long,2.4443,win,0.031497,0.030244,0.03335
2026-04-27T10:59:58.741933+00:00,,SPKUSDT,1h,Continuation,Trending,0.4646,Bearish,Short,-0.0845,loss,0.037503,0.038781,0.03551
2026-04-16T17:56:47.130198+00:00,,SOLUSDT,1h,Continuation,Balanced,0.8556,Bullish,Long,1.7979,win,85.072595,84.355178,86.6
2026-04-20T11:44:22.819123+00:00,,SOONUSDT,15m,Continuation,Balanced,0.8094,Bullish,Long,0.5683,win,0.17819,0.175859,0.179024
2026-04-22T18:57:48.173231+00:00,,SOONUSDT,15m,Continuation,Ranging,0.8413,Bullish,Long,-0.6199,loss,0.174238,0.170905,0.1763
2026-04-23T10:42:36.268692+00:00,,SOONUSDT,15m,Continuation,Balanced,0.883,Bullish,Long,0.5512,win,0.182134,0.177566,0.1841
2026-04-13T16:44:59.999000+00:00,,WETUSDT,15m,Continuation,Trending,0.8592,Bullish,Long,-2.2042,loss,0.139056,0.124107,0.14926
2026-04-25T21:59:59.999000+00:00,,HYPERUSDT,15m,Continuation,Trending,0.8794,Bullish,Long,-0.2717,loss,0.155992,0.134891,0.16193
2026-04-29T00:58:01.772927+00:00,,HYPERUSDT,1h,Continuation,Balanced,0.8631,Bullish,Long,-1.5362,loss,0.121327,0.119481,0.12429
2026-04-13T23:56:29.181229+00:00,,PUMPUSDT,4h,Continuation,Trending,0.8661,Bullish,Long,-0.9499,loss,0.001812,0.001746,0.001922
2026-04-29T04:26:45.047015+00:00,,PUMPUSDT,15m,Continuation,Balanced,0.8564,Bullish,Long,0.6823,win,0.00187,0.001819,0.001911
2026-04-17T23:56:41.953640+00:00,,COMPUSDT,1h,Continuation,Balanced,0.9075,Bullish,Long,3.5125,win,24.885941,24.482579,26.13
2026-04-25T11:59:59.999000+00:00,,SAPIENUSDT,1h,Continuation,Trending,0.878,Bullish,Long,7.1426,win,0.09418,0.091092,0.10067
2026-04-06T11:56:30.624019+00:00,,DOTUSDT,4h,Continuation,Trending,0.903,Bullish,Long,-2.7882,loss,1.236488,1.229034,1.304827
2026-04-13T15:56:10.092114+00:00,,DOTUSDT,15m,Continuation,Ranging,0.4549,Bearish,Short,-0.7151,loss,1.173043,1.197851,1.166314
2026-04-17T12:55:51.485455+00:00,,DOTUSDT,15m,Continuation,Ranging,0.8653,Bullish,Long,1.1115,win,1.31221,1.297784,1.32
2026-04-05T13:57:07.699601+00:00,,ALGOUSDT,1h,Continuation,Trending,0.8912,Bullish,Long,-0.0792,loss,0.116167,0.116079,0.118894
2026-04-26T14:55:47.294101+00:00,,ALGOUSDT,15m,Continuation,Balanced,0.862,Bullish,Long,-0.4602,loss,0.118365,0.116575,0.1194
2026-04-16T23:59:32.515981+00:00,,FIGHTUSDT,4h,Continuation,Trending,0.8729,Bullish,Long,3.3913,win,0.003916,0.003518,0.004254
2026-04-08T11:59:59.999000+00:00,,RAVEUSDT,4h,Continuation,Trending,0.9014,Bullish,Long,11.384,win,0.259619,0.254519,0.29581
2026-04-15T11:59:59.999000+00:00,,TIAUSDT,4h,Continuation,Trending,0.8897,Bullish,Long,1.6666,win,0.305236,0.304697,0.3195
2026-04-16T07:59:59.999000+00:00,,TIAUSDT,4h,Continuation,Trending,0.9019,Bullish,Long,5.3734,win,0.314036,0.307632,0.3515
2026-04-19T06:55:50.584207+00:00,,TIAUSDT,1h,Continuation,Balanced,0.8462,Bullish,Long,-1.5004,loss,0.399307,0.381737,0.3999
2026-04-26T06:55:41.227725+00:00,,BANANAS31USDT,15m,Continuation,Balanced,0.8351,Bullish,Long,-1.3806,loss,0.009574,0.009414,0.009755
2026-04-07T04:55:50.210198+00:00,,ZECUSDT,1h,Continuation,Trending,0.8849,Bullish,Long,1.1843,win,252.806559,248.244484,262.690506
2026-04-21T11:55:16.329497+00:00,,ZECUSDT,4h,Continuation,Trending,0.8582,Bullish,Long,-4.38,loss,328.723001,318.371443,330.45
2026-04-10T15:57:41.707946+00:00,,WLDUSDT,1h,Continuation,Balanced,0.8632,Bullish,Long,2.3537,win,0.267275,0.260617,0.2763
2026-04-13T01:57:14.016265+00:00,,WLDUSDT,1h,Continuation,Trending,0.8972,Bullish,Long,-2.0708,loss,0.289821,0.279755,0.300415
2026-04-14T07:55:20.338849+00:00,,WLDUSDT,4h,Continuation,Trending,0.9314,Bullish,Long,-4.9768,loss,0.289021,0.267927,0.325584
2026-04-16T07:58:55.102134+00:00,,WLDUSDT,15m,Continuation,Ranging,0.895,Bullish,Long,-0.7118,loss,0.308261,0.304539,0.310626
2026-04-14T06:59:21.800171+00:00,,CRVUSDT,15m,Continuation,Ranging,0.8603,Bullish,Long,-0.2536,loss,0.217162,0.214476,0.218
2026-04-14T13:56:58.409123+00:00,,DOGEUSDT,1h,Continuation,Trending,0.9287,Bullish,Long,-1.0808,loss,0.093291,0.092532,0.096587
2026-04-16T23:59:32.515981+00:00,,DOGEUSDT,24h,Continuation,Trending,0.907,Bullish,Long,-5.7886,loss,0.09226,0.091166,0.099212
2026-04-22T07:55:28.153997+00:00,,DOGEUSDT,4h,Continuation,Balanced,0.8873,Bullish,Long,-1.8613,loss,0.095364,0.094145,0.09744
2026-04-29T00:27:29.677948+00:00,,DOGEUSDT,15m,Continuation,Ranging,0.8365,Bullish,Long,-0.0602,loss,0.099409,0.099178,0.09963
