Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,Position,PnL_Pct,Result
v2_balanced,LINKUSDT,1h,Continuation,Balanced,0.8742,Bullish,Long,0.7783,win
v2_balanced,LINKUSDT,24h,Continuation,Trending,0.8925,Bullish,Long,-2.0835,loss
v2_balanced,SANDUSDT,4h,Continuation,Trending,0.8449,Bearish,Short,2.7512,win
v2_balanced,SANDUSDT,4h,Continuation,Trending,0.8557,Bullish,Long,4.4939,win
v2_balanced,LDOUSDT,1h,Continuation,Trending,0.8379,Bullish,Long,1.771,win
v2_balanced,LDOUSDT,15m,Continuation,Balanced,0.8974,Bullish,Long,0.4451,win
v2_balanced,LDOUSDT,4h,Continuation,Trending,0.8897,Bullish,Long,2.5221,win
v2_balanced,HYPEUSDT,1h,Continuation,Balanced,0.9077,Bullish,Long,-0.1926,loss
v2_balanced,HYPEUSDT,4h,Continuation,Trending,0.852,Bullish,Long,5.555,win
v2_balanced,HYPEUSDT,4h,Continuation,Trending,0.8094,Bullish,Long,4.5519,win
v2_balanced,0GUSDT,4h,Continuation,Trending,0.8966,Bullish,Long,-2.0632,loss
v2_balanced,MOVRUSDT,15m,Continuation,Balanced,0.8685,Bullish,Long,-2.0372,loss
v2_balanced,BZUSDT,1h,Continuation,Balanced,0.8493,Bullish,Long,-2.0297,loss
v2_balanced,BZUSDT,4h,Continuation,Balanced,0.8661,Bullish,Long,-1.7616,loss
v2_balanced,BZUSDT,4h,Continuation,Balanced,0.8896,Bullish,Long,-0.9303,open
v2_balanced,MINAUSDT,15m,Continuation,Ranging,0.8294,Bullish,Long,-0.3928,loss
v2_balanced,BLURUSDT,1h,Continuation,Trending,0.8474,Bullish,Long,3.0951,win
v2_balanced,BLURUSDT,15m,Continuation,Balanced,0.8474,Bullish,Long,3.6474,win
v2_balanced,BLURUSDT,1h,Continuation,Trending,0.8824,Bullish,Long,-3.5539,loss
v2_balanced,HOLOUSDT,4h,Continuation,Trending,0.8987,Bullish,Long,-3.1102,loss
v2_balanced,HOLOUSDT,4h,Continuation,Trending,0.8824,Bullish,Long,-3.7608,loss
v2_balanced,BCHUSDT,4h,Continuation,Balanced,0.8923,Bullish,Long,-2.0962,loss
v2_balanced,BCHUSDT,24h,Continuation,Trending,0.851,Bullish,Long,-1.224,loss
v2_balanced,MAGMAUSDT,15m,Continuation,Balanced,0.8675,Bullish,Long,0.9548,win
v2_balanced,INJUSDT,4h,Continuation,Trending,0.8751,Bullish,Long,-1.7676,loss
v2_balanced,INJUSDT,4h,Continuation,Balanced,0.8534,Bullish,Long,3.9094,win
v2_balanced,INJUSDT,4h,Continuation,Trending,0.8601,Bullish,Long,1.9055,win
v2_balanced,INJUSDT,4h,Continuation,Trending,0.9103,Bullish,Long,4.857,win
v2_balanced,INJUSDT,15m,Continuation,Balanced,0.8498,Bullish,Long,-0.1451,loss
v2_balanced,ARBUSDT,4h,Continuation,Trending,0.8771,Bullish,Long,-1.77,loss
v2_balanced,ARBUSDT,4h,Continuation,Trending,0.8944,Bullish,Long,-1.3175,loss
v2_balanced,ARBUSDT,4h,Continuation,Trending,0.9047,Bullish,Long,2.0042,win
v2_balanced,ARBUSDT,4h,Continuation,Trending,0.8027,Bullish,Long,4.1978,win
v2_balanced,ARBUSDT,15m,Continuation,Balanced,0.8215,Bullish,Long,-0.3297,loss
v2_balanced,我踏马来了USDT,4h,Continuation,Trending,0.8605,Bullish,Long,8.9785,win
v2_balanced,GIGGLEUSDT,15m,Continuation,Balanced,0.8403,Bullish,Long,-1.2856,loss
v2_balanced,GIGGLEUSDT,1h,Continuation,Trending,0.8835,Bullish,Long,-0.9207,loss
v2_balanced,SOLVUSDT,1h,Continuation,Trending,0.8978,Bullish,Long,1.3432,win
v2_balanced,AVNTUSDT,4h,Continuation,Trending,0.8838,Bullish,Long,2.0032,win
v2_balanced,AVNTUSDT,4h,Continuation,Trending,0.8215,Bullish,Long,-0.7879,loss
v2_balanced,PAXGUSDT,4h,Continuation,Balanced,0.8431,Bullish,Long,-1.7287,loss
v2_balanced,HUSDT,4h,Continuation,Trending,0.8816,Bullish,Long,-1.1305,loss
v2_balanced,GENIUSUSDT,15m,Continuation,Ranging,0.802,Bullish,Long,-0.6345,loss
v2_balanced,GMTUSDT,4h,Continuation,Trending,0.8464,Bullish,Long,-3.0854,loss
v2_balanced,ARIAUSDT,15m,Continuation,Trending,0.8442,Bullish,Long,6.0573,win
v2_balanced,JTOUSDT,4h,Continuation,Trending,0.8369,Bullish,Long,-3.6794,loss
v2_balanced,SOLUSDT,1h,Continuation,Balanced,0.8266,Bullish,Long,1.7736,win
v2_balanced,BIOUSDT,4h,Continuation,Trending,0.8409,Bullish,Long,-5.9554,loss
v2_balanced,CHIPUSDT,15m,Continuation,Trending,0.8964,Bullish,Long,-6.7045,loss
v2_balanced,CRVUSDT,1h,Continuation,Balanced,0.873,Bullish,Long,2.9328,win
v2_balanced,CRVUSDT,15m,Continuation,Ranging,0.8603,Bullish,Long,-0.2536,loss
v2_balanced,CRVUSDT,15m,Continuation,Ranging,0.827,Bullish,Long,1.0099,win
v2_balanced,CRVUSDT,15m,Continuation,Balanced,0.8408,Bullish,Long,-0.4405,loss
v2_balanced,VANAUSDT,4h,Continuation,Trending,0.8903,Bullish,Long,1.5227,win
v2_balanced,BASEDUSDT,15m,Continuation,Balanced,0.801,Bullish,Long,-0.9668,loss
v2_balanced,BASEDUSDT,1h,Continuation,Trending,0.9041,Bullish,Long,-1.1183,loss
v2_balanced,DASHUSDT,15m,Squeeze,Trending,0.85,Bearish,Short,-0.6055,loss
v2_balanced,DASHUSDT,4h,Continuation,Trending,0.8573,Bullish,Long,2.3112,win
v2_balanced,DASHUSDT,4h,Continuation,Trending,0.8648,Bullish,Long,-2.3611,loss
v2_balanced,ORCAUSDT,15m,Continuation,Balanced,0.877,Bullish,Long,-0.1935,loss
v2_balanced,STOUSDT,15m,Continuation,Trending,0.7881,Bullish,Long,-3.6784,loss
v2_balanced,ADAUSDT,24h,Continuation,Trending,0.8581,Bullish,Long,-3.6518,loss
v2_balanced,ADAUSDT,15m,Continuation,Ranging,0.8353,Bearish,Short,-0.0397,loss
v2_balanced,ZEREBROUSDT,1h,Continuation,Trending,0.9036,Bullish,Long,11.4018,win
v2_balanced,FARTCOINUSDT,4h,Continuation,Trending,0.8943,Bullish,Long,-3.7682,loss
v2_balanced,FARTCOINUSDT,1h,Continuation,Balanced,0.8603,Bullish,Long,2.7676,win
v2_balanced,FARTCOINUSDT,1h,Continuation,Balanced,0.8782,Bullish,Long,4.0548,win
v2_balanced,FARTCOINUSDT,4h,Continuation,Trending,0.9071,Bullish,Long,3.1251,win
v2_balanced,FARTCOINUSDT,4h,Continuation,Trending,0.9004,Bullish,Long,-3.1431,loss
v2_balanced,ONDOUSDT,15m,Continuation,Ranging,0.8685,Bullish,Long,-0.4194,loss
v2_balanced,ONDOUSDT,4h,Continuation,Trending,0.8921,Bullish,Long,-2.3392,loss
v2_balanced,ONDOUSDT,24h,Continuation,Trending,0.8461,Bullish,Long,-0.6372,open
v2_balanced,BULLAUSDT,15m,Continuation,Trending,0.8919,Bullish,Long,-0.0851,loss
v2_balanced,YGGUSDT,15m,Continuation,Balanced,0.8254,Bullish,Long,0.6531,win
v2_balanced,YGGUSDT,15m,Continuation,Balanced,0.8466,Bullish,Long,-1.2277,loss
v2_balanced,LINEAUSDT,4h,Continuation,Trending,0.8648,Bullish,Long,1.5305,win
v2_balanced,FETUSDT,1h,Continuation,Balanced,0.8508,Bullish,Long,0.7848,win
v2_balanced,ASTERUSDT,1h,Continuation,Balanced,0.9085,Bullish,Long,-1.2758,loss
v2_balanced,BSBUSDT,1h,Continuation,Trending,0.8838,Bullish,Long,-1.2509,loss
v2_balanced,BSBUSDT,1h,Continuation,Trending,0.8485,Bullish,Long,-0.2036,loss
v2_balanced,QUSDT,15m,Continuation,Balanced,0.8131,Bullish,Long,-1.3417,loss
v2_balanced,SONICUSDT,4h,Continuation,Balanced,0.8181,Bullish,Long,3.5784,win
v2_balanced,SONICUSDT,15m,Continuation,Balanced,0.8983,Bullish,Long,2.6463,win
v2_balanced,QTUMUSDT,1h,Continuation,Balanced,0.8572,Bullish,Long,-0.3598,loss
v2_balanced,RAVEUSDT,4h,Continuation,Trending,0.9014,Bullish,Long,11.384,win
v2_balanced,RAVEUSDT,15m,Continuation,Trending,0.798,Bullish,Long,-2.7946,loss
v2_balanced,RAVEUSDT,15m,Continuation,Trending,0.8149,Bullish,Long,-2.8591,loss
v2_balanced,RLSUSDT,4h,Continuation,Trending,0.8915,Bullish,Long,-2.0839,loss
v2_balanced,1000BONKUSDT,1h,Continuation,Balanced,0.8562,Bullish,Long,-0.0166,loss
v2_balanced,1000BONKUSDT,15m,Continuation,Ranging,0.8766,Bullish,Long,-0.4888,loss
v2_balanced,1000BONKUSDT,4h,Continuation,Trending,0.8606,Bullish,Long,-1.3292,loss
v2_balanced,DOTUSDT,4h,Continuation,Balanced,0.8579,Bearish,Short,-1.4682,loss
v2_balanced,DOTUSDT,4h,Continuation,Balanced,0.4692,Bearish,Short,-1.3915,loss
v2_balanced,XLMUSDT,4h,Continuation,Trending,0.8863,Bullish,Long,4.3089,win
v2_balanced,XLMUSDT,1h,Continuation,Ranging,0.8589,Bullish,Long,-0.1508,loss
v2_balanced,CHZUSDT,4h,Continuation,Trending,0.8492,Bullish,Long,-3.4402,loss
v2_balanced,CHZUSDT,4h,Continuation,Trending,0.8503,Bullish,Long,2.372,win
v2_balanced,CHZUSDT,4h,Continuation,Trending,0.887,Bullish,Long,-5.4595,loss
v2_balanced,CHZUSDT,15m,Continuation,Ranging,0.7851,Bullish,Long,-0.2905,loss
v2_balanced,CHZUSDT,4h,Continuation,Trending,0.8845,Bullish,Long,-3.7519,loss
v2_balanced,GWEIUSDT,1h,Continuation,Trending,0.8084,Bullish,Long,-4.1878,loss
v2_balanced,GWEIUSDT,1h,Continuation,Trending,0.9115,Bullish,Long,-6.0164,loss
v2_balanced,LUNA2USDT,4h,Continuation,Trending,0.9011,Bullish,Long,1.4513,win
v2_balanced,SUSHIUSDT,15m,Continuation,Ranging,0.8366,Bearish,Short,-0.2116,loss
v2_balanced,IMXUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-1.1442,loss
v2_balanced,IMXUSDT,4h,Continuation,Trending,0.9019,Bullish,Long,-0.667,loss
v2_balanced,API3USDT,1h,Continuation,Balanced,0.8703,Bullish,Long,-0.2874,loss
v2_balanced,STRKUSDT,4h,Continuation,Trending,0.8558,Bullish,Long,2.4842,win
v2_balanced,PORTALUSDT,15m,Continuation,Balanced,0.8195,Bullish,Long,0.8688,win
v2_balanced,HUMAUSDT,1h,Continuation,Trending,0.8744,Bullish,Long,1.5127,win
v2_balanced,HUMAUSDT,4h,Continuation,Trending,0.8776,Bullish,Long,3.5944,win
v2_balanced,1000SHIBUSDT,24h,Continuation,Trending,0.9079,Bullish,Long,-5.8599,loss
v2_balanced,1000SHIBUSDT,1h,Continuation,Balanced,0.8894,Bullish,Long,0.5114,win
v2_balanced,TSLAUSDT,4h,Continuation,Balanced,0.9015,Bullish,Long,0.8019,win
v2_balanced,MMTUSDT,1h,Continuation,Balanced,0.9013,Bullish,Long,-1.3758,loss
v2_balanced,MMTUSDT,1h,Continuation,Balanced,0.914,Bullish,Long,0.8177,win
v2_balanced,MMTUSDT,15m,Continuation,Trending,0.8441,Bullish,Long,1.4738,win
v2_balanced,PHBUSDT,15m,Continuation,Balanced,0.8287,Bullish,Long,-0.7776,loss
v2_balanced,VVVUSDT,15m,Continuation,Balanced,0.8241,Bullish,Long,0.4561,win
v2_balanced,VVVUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,2.163,win
v2_balanced,1000PEPEUSDT,1h,Continuation,Balanced,0.8323,Bullish,Long,-1.6735,loss
v2_balanced,1000PEPEUSDT,15m,Continuation,Balanced,0.8574,Bullish,Long,-0.8251,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Balanced,0.9061,Bullish,Long,-2.0948,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Trending,0.9017,Bullish,Long,-2.2772,loss
v2_balanced,WLDUSDT,1h,Continuation,Balanced,0.842,Bullish,Long,-0.5295,loss
v2_balanced,WLDUSDT,4h,Continuation,Trending,0.7974,Bullish,Long,3.2308,win
v2_balanced,PIXELUSDT,1h,Continuation,Trending,0.8695,Bullish,Long,-2.3531,loss
v2_balanced,TRUUSDT,15m,Continuation,Balanced,0.8462,Bullish,Long,-1.6062,loss
v2_balanced,MUSDT,4h,Continuation,Trending,0.8509,Bullish,Long,7.6019,win
v2_balanced,NMRUSDT,15m,Continuation,Balanced,0.8172,Bullish,Long,3.6498,win
v2_balanced,RIVERUSDT,15m,Continuation,Balanced,0.8021,Bullish,Long,3.2182,win
v2_balanced,RIVERUSDT,15m,Continuation,Balanced,0.7943,Bullish,Long,0.6253,win
v2_balanced,TACUSDT,15m,Continuation,Balanced,0.8407,Bullish,Long,-0.1253,loss
v2_balanced,TACUSDT,15m,Continuation,Balanced,0.8275,Bullish,Long,3.2523,win
v2_balanced,XPLUSDT,15m,Continuation,Balanced,0.8554,Bullish,Long,-1.5066,loss
v2_balanced,XPLUSDT,4h,Continuation,Trending,0.8616,Bullish,Long,-4.528,loss
v2_balanced,XAUTUSDT,4h,Continuation,Balanced,0.8231,Bullish,Long,-1.6647,loss
v2_balanced,ETCUSDT,4h,Continuation,Balanced,0.8614,Bullish,Long,-2.3116,loss
v2_balanced,TRUMPUSDT,4h,Continuation,Balanced,0.8776,Bullish,Long,-2.6018,loss
v2_balanced,TRUMPUSDT,4h,Continuation,Balanced,0.9088,Bullish,Long,1.2937,win
v2_balanced,TAOUSDT,4h,Continuation,Balanced,0.8851,Bullish,Long,1.3228,win
v2_balanced,TAOUSDT,4h,Continuation,Trending,0.8926,Bullish,Long,-3.625,loss
v2_balanced,TAOUSDT,24h,Continuation,Trending,0.8192,Bullish,Long,-3.2527,open
v2_balanced,LITUSDT,15m,Continuation,Ranging,0.821,Bullish,Long,0.337,win
v2_balanced,THETAUSDT,15m,Continuation,Balanced,0.8937,Bullish,Long,-1.3137,loss
v2_balanced,FILUSDT,4h,Continuation,Trending,0.9296,Bullish,Long,1.4004,win
v2_balanced,TONUSDT,4h,Continuation,Trending,0.8926,Bullish,Long,1.8577,win
v2_balanced,TONUSDT,15m,Continuation,Ranging,0.824,Bullish,Long,-0.4991,loss
v2_balanced,YBUSDT,1h,Continuation,Trending,0.8763,Bullish,Long,1.5835,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.8541,Bullish,Long,5.7167,win
v2_balanced,GALAUSDT,24h,Continuation,Trending,0.9006,Bullish,Long,3.1933,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.8874,Bullish,Long,4.589,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.9131,Bullish,Long,-3.5403,loss
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.84,Bullish,Long,-3.3918,loss
v2_balanced,ETHUSDT,4h,Continuation,Balanced,0.8279,Bullish,Long,-1.646,loss
v2_balanced,ETHUSDT,24h,Continuation,Trending,0.8604,Bullish,Long,-2.2372,loss
v2_balanced,ETHUSDT,4h,Continuation,Balanced,0.8868,Bullish,Long,-0.688,loss
v2_balanced,PIEVERSEUSDT,15m,Continuation,Trending,0.8173,Bullish,Long,1.8468,win
v2_balanced,BUSDT,4h,Continuation,Trending,0.8794,Bullish,Long,3.2843,win
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.869,Bullish,Long,-1.354,loss
v2_balanced,PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,Long,-6.09,loss
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,Long,-0.9346,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.9041,Bullish,Long,-3.6455,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.808,Bullish,Long,6.7498,win
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.8575,Bullish,Long,-4.6538,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.9018,Bullish,Long,-4.6467,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.8971,Bullish,Long,-4.0542,loss
v2_balanced,BNBUSDT,4h,Continuation,Balanced,0.8822,Bullish,Long,-1.3346,loss
v2_balanced,OPUSDT,4h,Continuation,Trending,0.8516,Bullish,Long,2.0042,win
v2_balanced,OPUSDT,4h,Continuation,Trending,0.8297,Bullish,Long,-3.5911,loss
v2_balanced,SPACEUSDT,4h,Continuation,Trending,0.8821,Bullish,Long,-6.3997,loss
v2_balanced,SPACEUSDT,1h,Continuation,Trending,0.8844,Bullish,Long,-5.3208,loss
v2_balanced,WCTUSDT,4h,Continuation,Trending,0.8341,Bullish,Long,1.4637,win
v2_balanced,WCTUSDT,1h,Continuation,Trending,0.9,Bullish,Long,1.9939,win
v2_balanced,INTCUSDT,4h,Continuation,Balanced,0.8884,Bullish,Long,-2.0852,loss
v2_balanced,FIGHTUSDT,4h,Continuation,Trending,0.8518,Bullish,Long,-7.6762,loss
v2_balanced,FIGHTUSDT,4h,Continuation,Trending,0.8729,Bullish,Long,3.3913,win
v2_balanced,SAFEUSDT,4h,Continuation,Trending,0.9012,Bullish,Long,-0.8181,loss
v2_balanced,SAFEUSDT,4h,Continuation,Trending,0.8762,Bullish,Long,6.1992,win
v2_balanced,RAYSOLUSDT,4h,Continuation,Trending,0.8536,Bullish,Long,-1.0436,loss
v2_balanced,RAYSOLUSDT,4h,Continuation,Trending,0.885,Bullish,Long,-2.6543,loss
