Version,Symbol,Timeframe,Setup,Regime,Confidence,Bias,PnL_Pct,Result
v2_balanced,KITEUSDT,4h,Continuation,Trending,0.8764,Bullish,-4.9689,loss
v2_balanced,BIOUSDT,4h,Continuation,Trending,0.9137,Bullish,-7.615,loss
v2_balanced,GENIUSUSDT,15m,Continuation,Ranging,0.802,Bullish,-0.6345,loss
v2_balanced,AAVEUSDT,4h,Continuation,Trending,0.9061,Bullish,-2.455,loss
v2_balanced,DOGEUSDT,15m,Continuation,Ranging,0.8365,Bullish,-0.0602,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Balanced,0.906,Bullish,-2.0948,loss
v2_balanced,1000PEPEUSDT,4h,Continuation,Trending,0.9016,Bullish,-2.2772,loss
v2_balanced,OPGUSDT,15m,Continuation,Balanced,0.8201,Bullish,-2.1295,loss
v2_balanced,HYPERUSDT,15m,Continuation,Trending,0.8794,Bullish,-0.2717,loss
v2_balanced,NOMUSDT,15m,Continuation,Trending,0.8353,Bullish,-3.0557,loss
v2_balanced,NOMUSDT,15m,Continuation,Trending,0.8358,Bullish,1.4135,win
v2_balanced,AEROUSDT,4h,Continuation,Trending,0.8677,Bullish,1.6312,win
v2_balanced,AEROUSDT,15m,Continuation,Balanced,0.895,Bullish,-0.5152,loss
v2_balanced,OPENUSDT,15m,Continuation,Balanced,0.8383,Bullish,0.4947,win
v2_balanced,VVVUSDT,4h,Continuation,Trending,0.904,Bullish,2.163,win
v2_balanced,NAORISUSDT,4h,Continuation,Trending,0.8711,Bullish,3.5827,win
v2_balanced,MINAUSDT,15m,Continuation,Ranging,0.8294,Bullish,-0.3928,loss
v2_balanced,VIRTUALUSDT,4h,Continuation,Trending,0.8826,Bullish,-2.591,loss
v2_balanced,SENTUSDT,1h,Continuation,Trending,0.8167,Bullish,-4.7931,loss
v2_balanced,EDGEUSDT,4h,Continuation,Trending,0.9062,Bullish,-6.3507,loss
v2_balanced,ZEREBROUSDT,1h,Continuation,Trending,0.8812,Bullish,2.09,win
v2_balanced,ZEREBROUSDT,1h,Continuation,Trending,0.9036,Bullish,11.7831,win
v2_balanced,CHZUSDT,15m,Continuation,Ranging,0.7851,Bullish,-0.2905,loss
v2_balanced,CHZUSDT,4h,Continuation,Trending,0.848,Bullish,-3.7519,loss
v2_balanced,GALAUSDT,1h,Continuation,Balanced,0.92,Bullish,2.5259,win
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.9137,Bullish,-3.9085,loss
v2_balanced,GALAUSDT,4h,Continuation,Trending,0.84,Bullish,-3.3918,loss
v2_balanced,AXSUSDT,4h,Continuation,Balanced,0.8916,Bullish,3.7907,win
v2_balanced,AXSUSDT,15m,Continuation,Balanced,0.8336,Bullish,2.1445,win
v2_balanced,AXSUSDT,15m,Continuation,Balanced,0.8639,Bullish,0.7818,win
v2_balanced,RAVEUSDT,15m,Continuation,Trending,0.8149,Bullish,-2.8591,loss
v2_balanced,PENGUUSDT,4h,Continuation,Trending,0.8971,Bullish,-4.0542,loss
v2_balanced,SANDUSDT,4h,Continuation,Trending,0.8959,Bullish,4.512,win
v2_balanced,INJUSDT,4h,Continuation,Trending,0.9075,Bullish,4.6833,win
v2_balanced,INJUSDT,15m,Continuation,Balanced,0.8498,Bullish,-0.1451,loss
v2_balanced,ENJUSDT,15m,Continuation,Balanced,0.837,Bullish,-0.9653,loss
v2_balanced,币安人生USDT,15m,Continuation,Balanced,0.8724,Bullish,0.6459,win
v2_balanced,HUSDT,4h,Continuation,Trending,0.8816,Bullish,-1.1305,loss
v2_balanced,ONDOUSDT,4h,Continuation,Trending,0.8729,Bullish,-1.7998,loss
v2_balanced,ALGOUSDT,15m,Continuation,Balanced,0.8631,Bullish,-0.2582,loss
v2_balanced,ALGOUSDT,15m,Continuation,Balanced,0.862,Bullish,-0.4602,loss
v2_balanced,SPACEUSDT,4h,Continuation,Trending,0.8808,Bullish,-6.3997,loss
v2_balanced,SPACEUSDT,1h,Continuation,Trending,0.8844,Bullish,-5.3208,loss
v2_balanced,SPACEUSDT,4h,Continuation,Trending,0.8758,Bullish,-7.9547,loss
v2_balanced,ADAUSDT,15m,Continuation,Ranging,0.8353,Bearish,-0.0397,loss
v2_balanced,TACUSDT,15m,Continuation,Balanced,0.8275,Bullish,3.2523,win
v2_balanced,SOONUSDT,15m,Continuation,Balanced,0.8525,Bullish,-1.0269,loss
v2_balanced,AMZNUSDT,4h,Continuation,Trending,0.906,Bullish,-0.7217,loss
v2_balanced,API3USDT,4h,Continuation,Trending,0.9036,Bullish,4.162,win
v2_balanced,PYTHUSDT,15m,Continuation,Balanced,0.8226,Bullish,1.1803,win
v2_balanced,MONUSDT,4h,Continuation,Trending,0.8627,Bullish,-3.6987,loss
v2_balanced,SONICUSDT,15m,Continuation,Balanced,0.8983,Bullish,2.6463,win
v2_balanced,FARTCOINUSDT,4h,Continuation,Trending,0.9004,Bullish,-3.1431,loss
v2_balanced,BASEDUSDT,4h,Continuation,Trending,0.8427,Bullish,-0.4235,loss
v2_balanced,CLUSDT,1h,Continuation,Balanced,0.9069,Bullish,-0.9298,loss
v2_balanced,CLUSDT,4h,Continuation,Trending,0.9004,Bullish,-1.018,open
v2_balanced,ORCAUSDT,15m,Continuation,Balanced,0.877,Bullish,-0.1935,loss
v2_balanced,YGGUSDT,15m,Continuation,Balanced,0.8254,Bullish,0.6531,win
v2_balanced,YGGUSDT,15m,Continuation,Balanced,0.8466,Bullish,-1.2277,loss
v2_balanced,WCTUSDT,1h,Continuation,Trending,0.9,Bullish,1.9939,win
v2_balanced,IPUSDT,4h,Continuation,Trending,0.8502,Bullish,-0.3497,loss
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.869,Bullish,-1.354,loss
v2_balanced,PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,-6.09,loss
v2_balanced,PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,-0.9346,loss
v2_balanced,CROSSUSDT,4h,Continuation,Trending,0.8758,Bullish,-0.0645,loss
v2_balanced,SLPUSDT,4h,Continuation,Trending,0.8906,Bullish,4.5366,win
v2_balanced,KATUSDT,15m,Continuation,Trending,0.857,Bullish,-3.5612,loss
v2_balanced,BZUSDT,4h,Continuation,Balanced,0.8661,Bullish,-1.7616,loss
v2_balanced,BZUSDT,4h,Continuation,Balanced,0.8896,Bullish,-0.9303,open
v2_balanced,LINEAUSDT,4h,Continuation,Trending,0.8968,Bullish,1.4919,win
v2_balanced,TURTLEUSDT,4h,Continuation,Trending,0.841,Bullish,-1.9032,loss
v2_balanced,TURTLEUSDT,4h,Continuation,Trending,0.875,Bullish,2.5013,win
v2_balanced,SEIUSDT,15m,Continuation,Balanced,0.8271,Bullish,1.3431,win
v2_balanced,ZKPUSDT,4h,Continuation,Trending,0.8694,Bullish,9.4951,win
v2_balanced,OPUSDT,4h,Continuation,Balanced,0.8842,Bullish,1.1594,win
v3_adaptive,KITEUSDT,4h,Continuation,Trending,0.8764,Bullish,-4.9689,loss
v3_adaptive,BIOUSDT,4h,Continuation,Trending,0.9137,Bullish,-7.615,loss
v3_adaptive,GENIUSUSDT,15m,Continuation,Ranging,0.802,Bullish,-0.6345,loss
v3_adaptive,AAVEUSDT,4h,Continuation,Trending,0.9061,Bullish,-2.455,loss
v3_adaptive,DOGEUSDT,15m,Continuation,Ranging,0.8365,Bullish,-0.0602,loss
v3_adaptive,DOGEUSDT,1h,Continuation,Trending,0.9314,Bullish,1.6126,win
v3_adaptive,1000PEPEUSDT,4h,Continuation,Balanced,0.906,Bullish,-2.0948,loss
v3_adaptive,1000PEPEUSDT,4h,Continuation,Trending,0.9016,Bullish,-2.2772,loss
v3_adaptive,OPGUSDT,15m,Continuation,Balanced,0.8201,Bullish,-2.1295,loss
v3_adaptive,HYPERUSDT,15m,Continuation,Trending,0.8794,Bullish,-0.2717,loss
v3_adaptive,NOMUSDT,15m,Continuation,Trending,0.8353,Bullish,-3.0557,loss
v3_adaptive,NOMUSDT,15m,Continuation,Trending,0.8358,Bullish,1.4135,win
v3_adaptive,AEROUSDT,4h,Continuation,Trending,0.8677,Bullish,1.6312,win
v3_adaptive,AEROUSDT,15m,Continuation,Balanced,0.895,Bullish,-0.5152,loss
v3_adaptive,OPENUSDT,15m,Continuation,Balanced,0.8383,Bullish,0.4947,win
v3_adaptive,VVVUSDT,4h,Continuation,Trending,0.904,Bullish,2.163,win
v3_adaptive,NAORISUSDT,4h,Continuation,Trending,0.8711,Bullish,3.5827,win
v3_adaptive,MINAUSDT,15m,Continuation,Ranging,0.8294,Bullish,-0.3928,loss
v3_adaptive,VIRTUALUSDT,4h,Continuation,Trending,0.8826,Bullish,-2.591,loss
v3_adaptive,EDGEUSDT,4h,Continuation,Trending,0.9062,Bullish,-6.3507,loss
v3_adaptive,ZEREBROUSDT,1h,Continuation,Trending,0.8801,Bullish,2.09,win
v3_adaptive,ZEREBROUSDT,1h,Continuation,Trending,0.9034,Bullish,11.7831,win
v3_adaptive,CHZUSDT,15m,Continuation,Ranging,0.7851,Bullish,-0.2905,loss
v3_adaptive,GALAUSDT,1h,Continuation,Balanced,0.9193,Bullish,2.5259,win
v3_adaptive,GALAUSDT,4h,Continuation,Trending,0.9137,Bullish,-3.9085,loss
v3_adaptive,AXSUSDT,4h,Continuation,Balanced,0.8916,Bullish,3.7907,win
v3_adaptive,AXSUSDT,15m,Continuation,Balanced,0.8336,Bullish,2.1445,win
v3_adaptive,AXSUSDT,15m,Continuation,Balanced,0.8639,Bullish,0.7818,win
v3_adaptive,RAVEUSDT,15m,Continuation,Trending,0.8149,Bullish,-2.8591,loss
v3_adaptive,PENGUUSDT,4h,Continuation,Trending,0.8971,Bullish,-4.0542,loss
v3_adaptive,SANDUSDT,4h,Continuation,Trending,0.8959,Bullish,4.512,win
v3_adaptive,INJUSDT,4h,Continuation,Trending,0.9075,Bullish,4.6833,win
v3_adaptive,INJUSDT,15m,Continuation,Balanced,0.8498,Bullish,-0.1451,loss
v3_adaptive,ENJUSDT,15m,Continuation,Balanced,0.837,Bullish,-0.9653,loss
v3_adaptive,币安人生USDT,15m,Continuation,Balanced,0.8724,Bullish,0.6459,win
v3_adaptive,HUSDT,4h,Continuation,Trending,0.8816,Bullish,-1.1305,loss
v3_adaptive,ALGOUSDT,15m,Continuation,Balanced,0.8631,Bullish,-0.2582,loss
v3_adaptive,ALGOUSDT,15m,Continuation,Balanced,0.862,Bullish,-0.4602,loss
v3_adaptive,SPACEUSDT,4h,Continuation,Trending,0.8808,Bullish,-6.3997,loss
v3_adaptive,SPACEUSDT,1h,Continuation,Trending,0.8836,Bullish,-5.3208,loss
v3_adaptive,SPACEUSDT,4h,Continuation,Trending,0.8758,Bullish,-7.9547,loss
v3_adaptive,ADAUSDT,15m,Continuation,Ranging,0.8353,Bearish,-0.0397,loss
v3_adaptive,TACUSDT,15m,Continuation,Balanced,0.8275,Bullish,3.2523,win
v3_adaptive,SOONUSDT,15m,Continuation,Balanced,0.8525,Bullish,-1.0269,loss
v3_adaptive,AMZNUSDT,4h,Continuation,Trending,0.906,Bullish,-0.7217,loss
v3_adaptive,API3USDT,4h,Continuation,Trending,0.9036,Bullish,4.162,win
v3_adaptive,PYTHUSDT,15m,Continuation,Balanced,0.8226,Bullish,1.1803,win
v3_adaptive,MONUSDT,4h,Continuation,Trending,0.8627,Bullish,-3.6987,loss
v3_adaptive,SONICUSDT,15m,Continuation,Balanced,0.8983,Bullish,2.6463,win
v3_adaptive,FARTCOINUSDT,4h,Continuation,Trending,0.9004,Bullish,-3.1431,loss
v3_adaptive,BASEDUSDT,4h,Continuation,Trending,0.8427,Bullish,-0.4235,loss
v3_adaptive,CLUSDT,1h,Continuation,Balanced,0.906,Bullish,-0.9298,loss
v3_adaptive,CLUSDT,4h,Continuation,Trending,0.9004,Bullish,-1.018,open
v3_adaptive,ORCAUSDT,15m,Continuation,Balanced,0.877,Bullish,-0.1935,loss
v3_adaptive,YGGUSDT,15m,Continuation,Balanced,0.8254,Bullish,0.6531,win
v3_adaptive,YGGUSDT,15m,Continuation,Balanced,0.8466,Bullish,-1.2277,loss
v3_adaptive,WCTUSDT,1h,Continuation,Trending,0.8985,Bullish,1.9939,win
v3_adaptive,IPUSDT,4h,Continuation,Trending,0.8502,Bullish,-0.3497,loss
v3_adaptive,PRLUSDT,15m,Continuation,Balanced,0.869,Bullish,-1.354,loss
v3_adaptive,PRLUSDT,15m,Continuation,Trending,0.8336,Bullish,-6.09,loss
v3_adaptive,PRLUSDT,15m,Continuation,Balanced,0.8223,Bullish,-0.9346,loss
v3_adaptive,CROSSUSDT,4h,Continuation,Trending,0.8758,Bullish,-0.0645,loss
v3_adaptive,SLPUSDT,4h,Continuation,Trending,0.8906,Bullish,4.5366,win
v3_adaptive,KATUSDT,15m,Continuation,Trending,0.857,Bullish,-3.5612,loss
v3_adaptive,BZUSDT,4h,Continuation,Balanced,0.8896,Bullish,-0.9303,open
v3_adaptive,LINEAUSDT,4h,Continuation,Trending,0.8968,Bullish,1.4919,win
v3_adaptive,TURTLEUSDT,4h,Continuation,Trending,0.875,Bullish,2.5013,win
v3_adaptive,SEIUSDT,15m,Continuation,Balanced,0.8271,Bullish,1.3431,win
v3_adaptive,ZKPUSDT,4h,Continuation,Trending,0.8694,Bullish,9.4951,win
v3_adaptive,OPUSDT,4h,Continuation,Balanced,0.8842,Bullish,1.1594,win
